cardano,algorand,cosmos,aptos,basic-attention-token,binancecoin,bitcoin,polkadot,ethereum,matic-network,alien-worlds,tether,tezos,wax,harmony,nexo,usd-coin,solana,bitsong,coinary-token,gala,immutable-x,celestia,gods-unchained,octorand,pyth-network,sentinel,jackal-protocol,arbitrum,osmosis,hivemapper,helium,dymension,sei-network,saga-2,ronin,nim-network,sui,dimo,hop-protocol,dtravel,metis-token,akash-network,luckycoin,hytopia,near,joystream,music-protocol,boba-network,kaito,mantra-dao,mamo,virtual-protocol,ethena,voi-network,stride-staked-tia,story-2,publicai,avantis,ethena-staked-usde,starcoin,only1,audius,ultra,pooltogether,pkt,atomone																												
																												
																												
https://api.coingecko.com/api/v3/coins/markets?ids=cardano,algorand,cosmos,aptos,basic-attention-token,binancecoin,bitcoin,polkadot,ethereum,matic-network,alien-worlds,tether,tezos,wax,harmony,nexo,usd-coin,solana,bitsong,coinary-token,gala,immutable-x,celestia,gods-unchained,octorand,pyth-network,sentinel,jackal-protocol,arbitrum,osmosis,hivemapper,helium,dymension,sei-network,saga-2,ronin,nim-network,sui,dimo,hop-protocol,dtravel,metis-token,akash-network,luckycoin,hytopia,near,joystream,music-protocol,boba-network,kaito,mantra-dao,mamo,virtual-protocol,ethena,voi-network,stride-staked-tia,story-2,publicai,avantis,ethena-staked-usde,starcoin,only1,audius,ultra,pooltogether,pkt,atomone&vs_currency=gbp																												
/id	/symbol	/name	/image	/current_price	/market_cap	/market_cap_rank	/fully_diluted_valuation	/total_volume	/high_24h	/low_24h	/price_change_24h	/price_change_percentage_24h	/market_cap_change_24h	/market_cap_change_percentage_24h	/circulating_supply	/total_supply	/max_supply	/ath	/ath_change_percentage	/ath_date	/atl	/atl_change_percentage	/atl_date	/roi	/last_updated	/roi/times	/roi/currency	/roi/percentage
bitcoin	btc	Bitcoin	https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400	77797	1553872956217	1	1553874903824	65175345100	79000	75796	746.95	0.96944	16778123093	1.09155	19945921	19945946	21000000	93529	-16.68546	2025-10-06T18:57:42.558Z	43.9	177392.03252	2013-07-05T00:00:00.000Z		2025-11-08T09:50:33.790Z			
ethereum	eth	Ethereum	https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628	2621.58	317125396224	2	317125396224	27894499063	2638.01	2435.44	106.7	4.24268	13894364865	4.58211	120696632.712921	120696632.712921	21000000	3685.5	-28.61761	2025-08-24T18:41:03.538Z	0.280314	938416.2659	2015-10-20T00:00:00.000Z		2025-11-08T09:50:36.511Z	44.05627659723506	btc	4405.6276597235055
tether	usdt	Tether	https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661	0.759628	139360648038	3	139360648038	97048182792	0.76334	0.758634	-0.00371169904328672	-0.48624	-670963794.05896	-0.47915	183451533283.9299	183451533283.9299	21000000	1.01	-24.78626	2018-07-24T00:00:00.000Z	0.388017	95.77706	2015-03-02T00:00:00.000Z		2025-11-08T09:50:31.444Z			
binancecoin	bnb	BNB	https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970	757.47	104620715153	5	104620712700	2096939242	764.17	705.79	28.77	3.94845	4285949761	4.27165	137737403.14	137737399.91	200000000	1028.73	-26.10759	2025-10-13T08:41:24.131Z	0.03027451	2510774.66644	2017-10-19T00:00:00.000Z		2025-11-08T09:50:36.108Z			
solana	sol	Solana	https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756	122.88	68038534547	6	75423640343	4945588000	124.99	114.78	4.96	4.20232	2766823857	4.23893	553469015.0888296	613544195.4051344	200000000	240.85	-48.85502	2025-01-19T11:15:27.957Z	0.406099	30233.6187	2020-05-11T19:35:23.449Z		2025-11-08T09:50:31.073Z			
usd-coin	usdc	USDC	https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694	0.759784	57557941791	7	57559766853	8332791466	0.763489	0.758868	-0.003705677656664075	-0.48536	-2355204.442222595	-0.00409	75748721316.56345	75751123177.20546	200000000	12.47	-93.90924	2025-01-23T04:45:51.184Z	0.629869	20.62563	2021-05-19T13:14:05.611Z		2025-11-08T09:50:31.442Z			
cardano	ada	Cardano	https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090	0.438834	16086708823	11	19785086878	1230034014	0.449895	0.396973	0.02728138	6.6289	1040799701	6.91749	36588259707.15725	45000000000	45000000000	2.24	-80.36407	2021-09-02T06:00:10.474Z	0.01534983	2766.5942	2020-03-13T02:22:55.044Z		2025-11-08T09:50:31.331Z			
sui	sui	Sui	https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290	1.63	6010350077	27	16326592444	1107721322	1.67	1.48	0.119991	7.96905	472529100	8.53276	3681325480.198332	10000000000	10000000000	4.3	-62.06442	2025-01-04T22:56:18.063Z	0.300477	443.35607	2023-10-19T22:05:15.703Z		2025-11-08T09:50:31.382Z			
polkadot	dot	Polkadot	https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008	2.46	4038096768	35	4038102421	736813628	2.67	2.07	0.327951	15.39307	559779550	16.0934	1634064028.373436	1634066316.04304	10000000000	40.66	-93.9018	2021-11-04T14:10:09.301Z	1.59	55.50934	2025-10-10T21:27:58.296Z		2025-11-08T09:50:39.208Z			
ethena-staked-usde	susde	Ethena Staked USDe	https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680	0.91258	3590284583	37	3590315089	168430635	0.916493	0.911018	-0.003792128462509647	-0.41382	-90355323.99351263	-2.45488	3933639275.806216	3933672699.329705	10000000000	1.037	-11.99678	2025-01-29T17:52:32.991Z	0.77226	18.18738	2025-07-17T08:05:19.714Z		2025-11-08T09:50:30.887Z			
near	near	NEAR Protocol	https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367	2.1	2717209534	46	2717209543	1414206365	2.24	1.69	0.393916	23.0435	534079045	24.46391	1279420492	1279420496	10000000000	15.05	-85.95867	2022-04-08T07:23:59.952Z	0.405405	421.30086	2020-11-04T16:09:15.137Z		2025-11-08T09:50:33.077Z			
